canonical_location_id,source_record_id,source_type,source_name,match_method,reason_code,confidence,normalized_address,raw_source_address,suite,house_number,street_name,legal_description,lat,lon
,listing-unmatched-0,observed,listing_file,unmatched_source_record,no_house_number_match,,9000 UNKNOWN ST NW,9000 UNKNOWN ST NW,,9000,UNKNOWN ST NW,,,
,listing-unmatched-1,observed,listing_file,unmatched_source_record,no_house_number_match,,9001 UNKNOWN ST NW,9001 UNKNOWN ST NW,,9001,UNKNOWN ST NW,,,
,listing-unmatched-2,observed,listing_file,unmatched_source_record,no_house_number_match,,9002 UNKNOWN ST NW,9002 UNKNOWN ST NW,,9002,UNKNOWN ST NW,,,
,listing-unmatched-3,observed,listing_file,unmatched_source_record,no_house_number_match,,9003 UNKNOWN ST NW,9003 UNKNOWN ST NW,,9003,UNKNOWN ST NW,,,
,listing-unmatched-4,observed,listing_file,unmatched_source_record,no_house_number_match,,9004 UNKNOWN ST NW,9004 UNKNOWN ST NW,,9004,UNKNOWN ST NW,,,
,listing-unmatched-5,observed,listing_file,unmatched_source_record,no_house_number_match,,9005 UNKNOWN ST NW,9005 UNKNOWN ST NW,,9005,UNKNOWN ST NW,,,
,listing-unmatched-6,observed,listing_file,unmatched_source_record,no_house_number_match,,9006 UNKNOWN ST NW,9006 UNKNOWN ST NW,,9006,UNKNOWN ST NW,,,
,listing-unmatched-7,observed,listing_file,unmatched_source_record,no_house_number_match,,9007 UNKNOWN ST NW,9007 UNKNOWN ST NW,,9007,UNKNOWN ST NW,,,
,listing-unmatched-8,observed,listing_file,unmatched_source_record,no_house_number_match,,9008 UNKNOWN ST NW,9008 UNKNOWN ST NW,,9008,UNKNOWN ST NW,,,
,listing-unmatched-9,observed,listing_file,unmatched_source_record,no_house_number_match,,9009 UNKNOWN ST NW,9009 UNKNOWN ST NW,,9009,UNKNOWN ST NW,,,
,permit-unmatched-0,inferred,permit_file,unmatched_source_record,no_house_number_match,,9500 UNKNOWN AVE NW,9500 UNKNOWN AVE NW,,9500,UNKNOWN AVE NW,,,
,permit-unmatched-1,inferred,permit_file,unmatched_source_record,no_house_number_match,,9501 UNKNOWN AVE NW,9501 UNKNOWN AVE NW,,9501,UNKNOWN AVE NW,,,
,permit-unmatched-2,inferred,permit_file,unmatched_source_record,no_house_number_match,,9502 UNKNOWN AVE NW,9502 UNKNOWN AVE NW,,9502,UNKNOWN AVE NW,,,
,permit-unmatched-3,inferred,permit_file,unmatched_source_record,no_house_number_match,,9503 UNKNOWN AVE NW,9503 UNKNOWN AVE NW,,9503,UNKNOWN AVE NW,,,
,permit-unmatched-4,inferred,permit_file,unmatched_source_record,no_house_number_match,,9504 UNKNOWN AVE NW,9504 UNKNOWN AVE NW,,9504,UNKNOWN AVE NW,,,
,permit-unmatched-5,inferred,permit_file,unmatched_source_record,no_house_number_match,,9505 UNKNOWN AVE NW,9505 UNKNOWN AVE NW,,9505,UNKNOWN AVE NW,,,
,permit-unmatched-6,inferred,permit_file,unmatched_source_record,no_house_number_match,,9506 UNKNOWN AVE NW,9506 UNKNOWN AVE NW,,9506,UNKNOWN AVE NW,,,
,permit-unmatched-7,inferred,permit_file,unmatched_source_record,no_house_number_match,,9507 UNKNOWN AVE NW,9507 UNKNOWN AVE NW,,9507,UNKNOWN AVE NW,,,
,permit-unmatched-8,inferred,permit_file,unmatched_source_record,no_house_number_match,,9508 UNKNOWN AVE NW,9508 UNKNOWN AVE NW,,9508,UNKNOWN AVE NW,,,
,permit-unmatched-9,inferred,permit_file,unmatched_source_record,no_house_number_match,,9509 UNKNOWN AVE NW,9509 UNKNOWN AVE NW,,9509,UNKNOWN AVE NW,,,
